MovieID,Gender,avg(Rating),Title,Genres
3280,M,5.0,"Baby, The (1973)",Horror
787,M,5.0,"Gate of Heavenly Peace, The (1995)",Documentary
989,M,5.0,Schlafes Bruder (Brother of Sleep) (1995),Drama
130,M,5.0,Angela (1995),Drama
1830,M,5.0,Follow the Bitch (1998),Comedy
3233,M,5.0,Smashing Time (1967),Comedy
3172,M,5.0,Ulysses (Ulisse) (1954),Adventure
439,M,5.0,Dangerous Game (1993),Drama
3517,M,5.0,"Bells, The (1926)",Crime|Drama
3656,M,5.0,Lured (1947),Crime
985,M,5.0,Small Wonders (1996),Documentary
2931,M,4.833333333333333,Time of the Gypsies (Dom za vesanje) (1989),Drama
3245,M,4.75,I Am Cuba (Soy Cuba/Ya Kuba) (1964),Drama
53,M,4.666666666666667,Lamerica (1994),Drama
598,M,4.666666666666667,Window to Paris (1994),Comedy
2905,M,4.639344262295082,Sanjuro (1962),Action|Adventure
2503,M,4.6,"Apple, The (Sib) (1998)",Drama
858,M,4.583333333333333,"Godfather, The (1972)",Action|Crime|Drama
3338,M,4.583333333333333,For All Mankind (1989),Documentary
2019,M,4.576628352490421,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama
318,M,4.560625,"Shawshank Redemption, The (1994)",Drama
1198,M,4.520597322348094,Raiders of the Lost Ark (1981),Action|Adventure
50,M,4.518248175182482,"Usual Suspects, The (1995)",Crime|Thriller
1664,M,4.5,N�nette et Boni (1996),Drama
578,M,4.5,"Hour of the Pig, The (1993)",Drama|Mystery
1795,M,4.5,"Callej�n de los milagros, El (1995)",Drama
128,M,4.5,Jupiter's Wife (1994),Documentary
557,M,4.5,Mamma Roma (1962),Drama
2480,M,4.5,Dry Cleaning (Nettoyage � sec) (1997),Drama
260,M,4.495307167235495,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
527,M,4.49141503848431,Schindler's List (1993),Drama|War
1178,M,4.485148514851486,Paths of Glory (1957),Drama|War
1148,M,4.478260869565218,"Wrong Trousers, The (1993)",Animation|Comedy
745,M,4.473794549266247,"Close Shave, A (1995)",Animation|Comedy|Thriller
904,M,4.4729907773386035,Rear Window (1954),Mystery|Thriller
3435,M,4.468354430379747,Double Indemnity (1944),Crime|Film-Noir
750,M,4.464788732394366,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
922,M,4.4645892351274785,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir
912,M,4.461340206185567,Casablanca (1942),Drama|Romance|War
1212,M,4.448275862068965,"Third Man, The (1949)",Mystery|Thriller
1204,M,4.439821693907875,Lawrence of Arabia (1962),Adventure|War
1221,M,4.437777777777778,"Godfather: Part II, The (1974)",Action|Crime|Drama
1193,M,4.418423106947697,One Flew Over the Cuckoo's Nest (1975),Drama
913,M,4.410891089108911,"Maltese Falcon, The (1941)",Film-Noir|Mystery
1262,M,4.408940397350993,"Great Escape, The (1963)",Adventure|War
923,M,4.407894736842105,Citizen Kane (1941),Drama
2937,M,4.40625,"Palm Beach Story, The (1942)",Comedy
3030,M,4.402116402116402,Yojimbo (1961),Comedy|Drama|Western
1250,M,4.401505646173149,"Bridge on the River Kwai, The (1957)",Drama|War
3410,M,4.4,Soft Fruit (1999),Comedy|Drama
2028,M,4.398941289701636,Saving Private Ryan (1998),Action|Drama|War
908,M,4.390640895218718,North by Northwest (1959),Drama|Thriller
720,M,4.385074626865672,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
593,M,4.381944444444445,"Silence of the Lambs, The (1991)",Drama|Thriller
2762,M,4.379944289693594,"Sixth Sense, The (1999)",Thriller
1207,M,4.372611464968153,To Kill a Mockingbird (1962),Drama
3307,M,4.363636363636363,City Lights (1931),Comedy|Drama|Romance
1136,M,4.3632718524458705,Monty Python and the Holy Grail (1974),Comedy
1252,M,4.362365591397849,Chinatown (1974),Film-Noir|Mystery|Thriller
2571,M,4.362235067437379,"Matrix, The (1999)",Action|Sci-Fi|Thriller
3077,M,4.362068965517241,42 Up (1998),Documentary
1234,M,4.355974842767296,"Sting, The (1973)",Comedy|Crime
1254,M,4.3489010989010985,"Treasure of the Sierra Madre, The (1948)",Adventure
2858,M,4.347300564061241,American Beauty (1999),Comedy|Drama
296,M,4.346838551258441,Pulp Fiction (1994),Crime|Drama
3470,M,4.346666666666667,Dersu Uzala (1974),Adventure|Drama
1147,M,4.3464912280701755,When We Were Kings (1996),Documentary
1196,M,4.344577284372331,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
3089,M,4.343434343434343,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama
682,M,4.333333333333333,Tigrero: A Film That Was Never Made (1994),Documentary|Drama
326,M,4.333333333333333,To Live (Huozhe) (1994),Drama
668,M,4.333333333333333,Pather Panchali (1955),Drama
1131,M,4.333333333333333,Jean de Florette (1986),Drama
2930,M,4.333333333333333,Return with Honor (1998),Documentary
2358,M,4.333333333333333,Savior (1998),Drama
1233,M,4.332549941245594,"Boat, The (Das Boot) (1981)",Action|Drama|War
3469,M,4.331606217616581,Inherit the Wind (1960),Drama
1213,M,4.331278890600925,GoodFellas (1990),Crime|Drama
3022,M,4.329479768786127,"General, The (1927)",Comedy
1203,M,4.328421052631579,12 Angry Men (1957),Drama
1267,M,4.326050420168067,"Manchurian Candidate, The (1962)",Film-Noir|Thriller
1272,M,4.3248638838475495,Patton (1970),Drama|War
1284,M,4.324519230769231,"Big Sleep, The (1946)",Film-Noir|Mystery
541,M,4.3125,Blade Runner (1982),Film-Noir|Sci-Fi
2360,M,4.3076923076923075,"Celebration, The (Festen) (1998)",Drama
1260,M,4.298387096774194,M (1931),Crime|Film-Noir|Thriller
110,M,4.297838692672641,Braveheart (1995),Action|Drama|War
1224,M,4.2972136222910216,Henry V (1989),Drama|War
1237,M,4.296137339055794,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
950,M,4.295918367346939,"Thin Man, The (1934)",Mystery
1276,M,4.295755968169761,Cool Hand Luke (1967),Comedy|Drama
1945,M,4.295165394402035,On the Waterfront (1954),Crime|Drama
953,M,4.294896030245747,It's a Wonderful Life (1946),Drama
1208,M,4.294884653961885,Apocalypse Now (1979),Drama|War
1223,M,4.293255131964809,"Grand Day Out, A (1992)",Animation|Comedy
1197,M,4.288941736028537,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
