MovieID,Occupation,avg(Rating),Title,Genres
2825,20,5.0,Rosie (1998),Drama
2931,20,5.0,Time of the Gypsies (Dom za vesanje) (1989),Drama
3410,20,5.0,Soft Fruit (1999),Comedy|Drama
729,20,5.0,"Institute Benjamenta, or This Dream People Call Human Life (1995)",Drama
2557,20,5.0,I Stand Alone (Seul contre tous) (1998),Drama
1664,20,5.0,N�nette et Boni (1996),Drama
106,20,5.0,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
2512,20,5.0,"Ballad of Narayama, The (Narayama Bushiko) (1982)",Drama
3737,20,5.0,Lonely Are the Brave (1962),Drama|Western
3757,20,5.0,Asylum (1972),Horror
2545,20,5.0,Relax... It's Just Sex (1998),Comedy
241,20,5.0,Fluke (1995),Children's|Drama
787,20,5.0,"Gate of Heavenly Peace, The (1995)",Documentary
3311,20,5.0,"Man from Laramie, The (1955)",Western
2444,20,5.0,24 7: Twenty Four Seven (1997),Comedy|Drama
3607,20,5.0,One Little Indian (1973),Comedy|Drama|Western
3349,20,5.0,"Perils of Pauline, The (1947)",Comedy
2773,20,5.0,Alice and Martin (Alice et Martin) (1998),Drama
578,20,5.0,"Hour of the Pig, The (1993)",Drama|Mystery
1539,20,5.0,Twin Town (1997),Comedy|Crime
1879,20,5.0,"Hanging Garden, The (1997)",Drama
1149,20,5.0,JLG/JLG - autoportrait de d�cembre (1994),Documentary|Drama
1807,20,5.0,"Cool Dry Place, A (1998)",Drama
3894,20,5.0,Solas (1999),Drama
2930,20,5.0,Return with Honor (1998),Documentary
3905,20,5.0,"Specials, The (2000)",Comedy
2673,20,5.0,Eternity and a Day (Mia eoniotita ke mia mera ) (1998),Drama
279,20,5.0,My Family (1995),Drama
2705,20,5.0,"Late August, Early September (Fin ao�t, d�but septembre) (1998)",Drama
1138,20,5.0,Dadetown (1995),Documentary
3215,20,5.0,Voyage of the Damned (1976),Drama
3012,20,5.0,Battling Butler (1926),Comedy
3645,20,5.0,Cleo From 5 to 7 (Cl�o de 5 � 7) (1962),Drama
2562,20,5.0,Bandits (1997),Drama
3306,20,4.75,"Circus, The (1928)",Comedy
3739,20,4.666666666666667,Trouble in Paradise (1932),Comedy|Romance
3759,20,4.666666666666667,Fun and Fancy Free (1947),Animation|Children's|Musical
1178,20,4.666666666666667,Paths of Glory (1957),Drama|War
1207,20,4.62962962962963,To Kill a Mockingbird (1962),Drama
858,20,4.629310344827586,"Godfather, The (1972)",Action|Crime|Drama
912,20,4.608695652173913,Casablanca (1942),Drama|Romance|War
1934,20,4.6,You Can't Take It With You (1938),Comedy
2972,20,4.6,Red Sorghum (Hong Gao Liang) (1987),Drama|War
922,20,4.585365853658536,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir
899,20,4.58,Singin' in the Rain (1952),Musical|Romance
3307,20,4.56,City Lights (1931),Comedy|Drama|Romance
3095,20,4.551724137931035,"Grapes of Wrath, The (1940)",Drama
3134,20,4.526315789473684,"Grand Illusion (Grande illusion, La) (1937)",Drama|War
2019,20,4.5227272727272725,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama
3022,20,4.518518518518518,"General, The (1927)",Comedy
3775,20,4.5,Make Mine Music (1946),Animation|Children's|Musical
1152,20,4.5,He Walked by Night (1948),Crime|Film-Noir|Thriller
1570,20,4.5,Tetsuo II: Body Hammer (1992),Sci-Fi
1117,20,4.5,"Eighth Day, The (Le Huiti�me jour ) (1996)",Drama
3776,20,4.5,Melody Time (1948),Animation|Children's|Musical
2360,20,4.5,"Celebration, The (Festen) (1998)",Drama
1860,20,4.5,Character (Karakter) (1997),Drama
363,20,4.5,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
503,20,4.5,"New Age, The (1994)",Drama
116,20,4.5,Anne Frank Remembered (1995),Documentary
3415,20,4.5,"Mirror, The (Zerkalo) (1975)",Drama
668,20,4.5,Pather Panchali (1955),Drama
1759,20,4.5,Four Days in September (1997),Drama
2503,20,4.5,"Apple, The (Sib) (1998)",Drama
3333,20,4.5,"Killing of Sister George, The (1968)",Drama
2646,20,4.5,House of Dracula (1945),Horror
1728,20,4.5,"Winter Guest, The (1997)",Drama
2859,20,4.5,Stop Making Sense (1984),Documentary
2275,20,4.5,Six-String Samurai (1998),Action|Adventure|Sci-Fi
3587,20,4.5,Inferno (1980),Horror
384,20,4.5,Bad Company (1995),Action
3222,20,4.5,Carmen (1984),Drama
3520,20,4.5,How to Stuff a Wild Bikini (1965),Comedy
3338,20,4.5,For All Mankind (1989),Documentary
1221,20,4.494736842105263,"Godfather: Part II, The (1974)",Action|Crime|Drama
923,20,4.493333333333333,Citizen Kane (1941),Drama
1234,20,4.492307692307692,"Sting, The (1973)",Comedy|Crime
750,20,4.489583333333333,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
1230,20,4.483516483516484,Annie Hall (1977),Comedy|Romance
3629,20,4.482758620689655,"Gold Rush, The (1925)",Comedy
1252,20,4.481927710843373,Chinatown (1974),Film-Noir|Mystery|Thriller
3030,20,4.481481481481482,Yojimbo (1961),Comedy|Drama|Western
904,20,4.47945205479452,Rear Window (1954),Mystery|Thriller
1212,20,4.473684210526316,"Third Man, The (1949)",Mystery|Thriller
1260,20,4.472222222222222,M (1931),Crime|Film-Noir|Thriller
1204,20,4.452830188679245,Lawrence of Arabia (1962),Adventure|War
3679,20,4.444444444444445,"Decline of Western Civilization, The (1981)",Documentary
2330,20,4.444444444444445,Hands on a Hard Body (1996),Documentary
908,20,4.443181818181818,North by Northwest (1959),Drama|Thriller
1198,20,4.4375,Raiders of the Lost Ark (1981),Action|Adventure
930,20,4.435897435897436,Notorious (1946),Film-Noir|Romance|Thriller
1148,20,4.435483870967742,"Wrong Trousers, The (1993)",Animation|Comedy
3470,20,4.428571428571429,Dersu Uzala (1974),Adventure|Drama
3010,20,4.428571428571429,Rosetta (1999),Drama
1288,20,4.423076923076923,This Is Spinal Tap (1984),Comedy|Drama|Musical
1193,20,4.416666666666667,One Flew Over the Cuckoo's Nest (1975),Drama
3093,20,4.409090909090909,McCabe & Mrs. Miller (1971),Drama|Western
206,20,4.4,Unzipped (1995),Documentary
1177,20,4.4,Enchanted April (1991),Drama
1192,20,4.4,Paris Is Burning (1990),Documentary
2357,20,4.4,Central Station (Central do Brasil) (1998),Drama
1076,20,4.4,"Innocents, The (1961)",Thriller
1023,20,4.4,Winnie the Pooh and the Blustery Day (1968),Animation|Children's
3747,20,4.4,Jesus' Son (1999),Drama
2609,20,4.4,"King of Masks, The (Bian Lian) (1996)",Drama
1247,20,4.397260273972603,"Graduate, The (1967)",Drama|Romance
1244,20,4.39344262295082,Manhattan (1979),Comedy|Drama|Romance
903,20,4.392156862745098,Vertigo (1958),Mystery|Thriller
3741,20,4.391304347826087,Badlands (1973),Crime|Drama
1136,20,4.391304347826087,Monty Python and the Holy Grail (1974),Comedy
3789,20,4.388888888888889,"Pawnbroker, The (1965)",Drama
111,20,4.386363636363637,Taxi Driver (1976),Drama|Thriller
3469,20,4.380952380952381,Inherit the Wind (1960),Drama
3730,20,4.377777777777778,"Conversation, The (1974)",Drama|Mystery
951,20,4.375,His Girl Friday (1940),Comedy
1942,20,4.375,All the King's Men (1949),Drama
954,20,4.375,Mr. Smith Goes to Washington (1939),Drama
1046,20,4.375,Beautiful Thing (1996),Drama|Romance
1189,20,4.371428571428571,"Thin Blue Line, The (1988)",Documentary
1952,20,4.37037037037037,Midnight Cowboy (1969),Drama
2203,20,4.37037037037037,Shadow of a Doubt (1943),Film-Noir|Thriller
3468,20,4.365853658536586,"Hustler, The (1961)",Drama
1250,20,4.365384615384615,"Bridge on the River Kwai, The (1957)",Drama|War
1362,20,4.363636363636363,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Drama
1214,20,4.361702127659575,Alien (1979),Action|Horror|Sci-Fi|Thriller
1228,20,4.360655737704918,Raging Bull (1980),Drama
2858,20,4.359116022099448,American Beauty (1999),Comedy|Drama
2066,20,4.357142857142857,Out of the Past (1947),Film-Noir
940,20,4.357142857142857,"Adventures of Robin Hood, The (1938)",Action|Adventure
3077,20,4.357142857142857,42 Up (1998),Documentary
3435,20,4.354166666666667,Double Indemnity (1944),Crime|Film-Noir
2726,20,4.352941176470588,"Killing, The (1956)",Crime|Film-Noir
2935,20,4.352941176470588,"Lady Eve, The (1941)",Comedy|Romance
50,20,4.350515463917525,"Usual Suspects, The (1995)",Crime|Thriller
965,20,4.35,"39 Steps, The (1935)",Thriller
527,20,4.345794392523365,Schindler's List (1993),Drama|War
1248,20,4.339622641509434,Touch of Evil (1958),Crime|Film-Noir|Thriller
1284,20,4.339285714285714,"Big Sleep, The (1946)",Film-Noir|Mystery
1276,20,4.338983050847458,Cool Hand Luke (1967),Comedy|Drama
608,20,4.338028169014085,Fargo (1996),Crime|Drama|Thriller
2729,20,4.333333333333333,Lolita (1962),Drama
77,20,4.333333333333333,Nico Icon (1995),Documentary
128,20,4.333333333333333,Jupiter's Wife (1994),Documentary
741,20,4.333333333333333,Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi
1956,20,4.333333333333333,Ordinary People (1980),Drama
1236,20,4.333333333333333,Trust (1990),Comedy|Drama
2923,20,4.333333333333333,Citizen's Band (a.k.a. Handle with Care) (1977),Comedy
523,20,4.333333333333333,Ruby in Paradise (1993),Drama
1283,20,4.333333333333333,High Noon (1952),Western
759,20,4.333333333333333,Maya Lin: A Strong Clear Vision (1994),Documentary
3634,20,4.333333333333333,Seven Days in May (1964),Thriller
1925,20,4.333333333333333,Wings (1927),Drama|Romance|War
1208,20,4.328947368421052,Apocalypse Now (1979),Drama|War
3089,20,4.32,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama
1304,20,4.319444444444445,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western
2186,20,4.318181818181818,Strangers on a Train (1951),Film-Noir|Thriller
246,20,4.318181818181818,Hoop Dreams (1994),Documentary
1254,20,4.314285714285714,"Treasure of the Sierra Madre, The (1948)",Adventure
720,20,4.3125,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
1131,20,4.3125,Jean de Florette (1986),Drama
924,20,4.31,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller
1219,20,4.3076923076923075,Psycho (1960),Horror|Thriller
1147,20,4.304347826086956,When We Were Kings (1996),Documentary
