MovieID,avg(Rating),Title,Genres
787,5.0,"Gate of Heavenly Peace, The (1995)",Documentary
3280,5.0,"Baby, The (1973)",Horror
989,5.0,Schlafes Bruder (Brother of Sleep) (1995),Drama
1830,5.0,Follow the Bitch (1998),Comedy
3881,5.0,Bittersweet Motel (2000),Documentary
3172,5.0,Ulysses (Ulisse) (1954),Adventure
3233,5.0,Smashing Time (1967),Comedy
3607,5.0,One Little Indian (1973),Comedy|Drama|Western
3382,5.0,Song of Freedom (1936),Drama
3656,5.0,Lured (1947),Crime
3245,4.8,I Am Cuba (Soy Cuba/Ya Kuba) (1964),Drama
53,4.75,Lamerica (1994),Drama
2503,4.666666666666667,"Apple, The (Sib) (1998)",Drama
2905,4.608695652173913,Sanjuro (1962),Action|Adventure
2019,4.560509554140127,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama
318,4.554557700942973,"Shawshank Redemption, The (1994)",Drama
858,4.524966261808367,"Godfather, The (1972)",Action|Crime|Drama
745,4.52054794520548,"Close Shave, A (1995)",Animation|Comedy|Thriller
50,4.517106001121705,"Usual Suspects, The (1995)",Crime|Thriller
527,4.510416666666667,Schindler's List (1993),Drama|War
1148,4.507936507936508,"Wrong Trousers, The (1993)",Animation|Comedy
578,4.5,"Hour of the Pig, The (1993)",Drama|Mystery
1795,4.5,"Callej�n de los milagros, El (1995)",Drama
3888,4.5,Skipped Parts (2000),Drama|Romance
3517,4.5,"Bells, The (1926)",Crime|Drama
557,4.5,Mamma Roma (1962),Drama
439,4.5,Dangerous Game (1993),Drama
2480,4.5,Dry Cleaning (Nettoyage � sec) (1997),Drama
2309,4.5,"Inheritors, The (Die Siebtelbauern) (1998)",Drama
922,4.491489361702127,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir
1198,4.477724741447892,Raiders of the Lost Ark (1981),Action|Adventure
904,4.476190476190476,Rear Window (1954),Mystery|Thriller
1178,4.473913043478261,Paths of Glory (1957),Drama|War
260,4.453694416583082,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
1212,4.452083333333333,"Third Man, The (1949)",Mystery|Thriller
750,4.4498902706656915,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
3338,4.444444444444445,For All Mankind (1989),Documentary
720,4.426940639269406,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
1207,4.425646551724138,To Kill a Mockingbird (1962),Drama
3435,4.415607985480944,Double Indemnity (1944),Crime|Film-Noir
912,4.412822049131217,Casablanca (1942),Drama|Romance|War
670,4.410714285714286,"World of Apu, The (Apur Sansar) (1959)",Drama
2762,4.406262708418057,"Sixth Sense, The (1999)",Thriller
3030,4.404651162790698,Yojimbo (1961),Comedy|Drama|Western
668,4.404255319148936,Pather Panchali (1955),Drama
1204,4.401925391095066,Lawrence of Arabia (1962),Adventure|War
2930,4.4,Return with Honor (1998),Documentary
913,4.395973154362416,"Maltese Falcon, The (1941)",Film-Noir|Mystery
1193,4.390724637681159,One Flew Over the Cuckoo's Nest (1975),Drama
923,4.388888888888889,Citizen Kane (1941),Drama
3307,4.387453874538745,City Lights (1931),Comedy|Drama|Romance
1250,4.386993603411514,"Bridge on the River Kwai, The (1957)",Drama|War
908,4.38403041825095,North by Northwest (1959),Drama|Thriller
1262,4.376436781609195,"Great Escape, The (1963)",Adventure|War
3022,4.368932038834951,"General, The (1927)",Comedy
1223,4.361522198731501,"Grand Day Out, A (1992)",Animation|Comedy
1221,4.357565011820331,"Godfather: Part II, The (1974)",Action|Crime|Drama
3089,4.357142857142857,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama
1423,4.357142857142857,Hearts and Minds (1996),Drama
593,4.3518231186966645,"Silence of the Lambs, The (1991)",Drama|Thriller
326,4.344262295081967,To Live (Huozhe) (1994),Drama
3134,4.33939393939394,"Grand Illusion (Grande illusion, La) (1937)",Drama|War
1252,4.339240506329114,Chinatown (1974),Film-Noir|Mystery|Thriller
2028,4.337353938937053,Saving Private Ryan (1998),Action|Drama|War
3429,4.335766423357664,Creature Comforts (1990),Animation|Comedy
1136,4.335209505941213,Monty Python and the Holy Grail (1974),Comedy
128,4.333333333333333,Jupiter's Wife (1994),Documentary
1267,4.333333333333333,"Manchurian Candidate, The (1962)",Film-Noir|Thriller
3410,4.333333333333333,Soft Fruit (1999),Comedy|Drama
2324,4.329861111111111,Life Is Beautiful (La Vita � bella) (1997),Comedy|Drama
3470,4.326086956521739,Dersu Uzala (1974),Adventure|Drama
1131,4.324074074074074,Jean de Florette (1986),Drama
1147,4.32129963898917,When We Were Kings (1996),Documentary
2731,4.320855614973262,"400 Blows, The (Les Quatre cents coups) (1959)",Drama
1234,4.320305052430887,"Sting, The (1973)",Comedy|Crime
2858,4.3173862310385065,American Beauty (1999),Comedy|Drama
2571,4.315830115830116,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1284,4.312384473197782,"Big Sleep, The (1946)",Film-Noir|Mystery
2360,4.3076923076923075,"Celebration, The (Festen) (1998)",Drama
2186,4.304979253112033,Strangers on a Train (1951),Film-Noir|Thriller
1197,4.3037100949094045,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
1233,4.302697302697303,"Boat, The (Das Boot) (1981)",Action|Drama|War
1260,4.3019480519480515,M (1931),Crime|Film-Noir|Thriller
898,4.3006872852233675,"Philadelphia Story, The (1940)",Comedy|Romance
910,4.300480769230769,Some Like It Hot (1959),Comedy|Crime
2839,4.3,West Beirut (West Beyrouth) (1998),Drama
2931,4.3,Time of the Gypsies (Dom za vesanje) (1989),Drama
953,4.299039780521262,It's a Wonderful Life (1946),Drama
1203,4.295454545454546,12 Angry Men (1957),Drama
930,4.29438202247191,Notorious (1946),Film-Noir|Romance|Thriller
1196,4.292976588628763,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
1254,4.289183222958058,"Treasure of the Sierra Madre, The (1948)",Adventure
2937,4.288461538461538,"Palm Beach Story, The (1942)",Comedy
1172,4.287804878048781,Cinema Paradiso (1988),Comedy|Drama|Romance
1224,4.286384976525822,Henry V (1989),Drama|War
2357,4.283720930232558,Central Station (Central do Brasil) (1998),Drama
3091,4.283687943262412,Kagemusha (1980),Drama|War
899,4.2836218375499335,Singin' in the Rain (1952),Musical|Romance
905,4.280748663101604,It Happened One Night (1934),Comedy
3469,4.279850746268656,Inherit the Wind (1960),Drama
296,4.278212805158913,Pulp Fiction (1994),Crime|Drama
1213,4.275196137598069,GoodFellas (1990),Crime|Drama
3679,4.274193548387097,"Decline of Western Civilization, The (1981)",Documentary
541,4.273333333333333,Blade Runner (1982),Film-Noir|Sci-Fi
903,4.27292817679558,Vertigo (1958),Mystery|Thriller
2203,4.2703862660944205,Shadow of a Doubt (1943),Film-Noir|Thriller
1945,4.269749518304431,On the Waterfront (1954),Crime|Drama
1217,4.26890756302521,Ran (1985),Drama|War
1272,4.266666666666667,Patton (1970),Drama|War
1132,4.259090909090909,Manon of the Spring (Manon des sources) (1986),Drama
363,4.258064516129032,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
926,4.255583126550868,All About Eve (1950),Drama
608,4.254675686430561,Fargo (1996),Crime|Drama|Thriller
